player,points_pros,date,player_team
William James Nunnally,13.5,2022-11-24,PAR
Zach Leday,12.5,2022-11-24,PAR
Alec Peters,13.5,2022-11-24,OLY
Isaiah Canaan,11.5,2022-11-24,OLY
Thomas Walkup,8.5,2022-11-24,OLY
Moustapha Fall,9.5,2022-11-24,OLY
Kostas Papanikolaou,8.5,2022-11-24,OLY
Nemanja Nedovic,13.5,2022-11-24,RED
Nicolo Melli,6.5,2022-11-24,MIL
Devon Hall,7.5,2022-11-24,MIL
Jordan Mickey,10.5,2022-12-02,VIR
Iffe Lundberg,14.5,2022-12-02,VIR
Ismael Bako,6.5,2022-12-02,VIR
Daniel Hackett,6.5,2022-12-02,VIR
Nigel Hayes,11.5,2022-12-02,ULK
Nick Calathes,9.5,2022-12-02,ULK
Sergio Llull,7.5,2022-12-02,MAD
Mario Hezonja,7.5,2022-12-02,MAD
Gabriel Deck,11.5,2022-12-02,MAD
Walter Tavares,11.5,2022-12-02,MAD
Keenan Evans,16.5,2022-12-02,ZAL
Rolands Smits,11.5,2022-12-02,ZAL
Edgaras Ulanovas,9.5,2022-12-02,ZAL
Georgios Papagiannis,8.5,2022-12-02,PAN
Mateusz Ponitka,11.5,2022-12-02,PAN
Dwayne Bacon,17.5,2022-12-02,PAN
Derrick Williams,13.5,2022-12-02,PAN
Augustine Rubit,8.5,2022-12-02,MUN
Andreas Obst,10.5,2022-12-02,MUN
Nick Weiler-Babb,6.5,2022-12-02,MUN
Roman Sorkin,7.5,2022-12-02,TEL
Josh Nebo,8.5,2022-12-02,TEL
Alex Poythress,8.5,2022-12-02,TEL
Rodrigue Beaubois,12.5,2022-12-23,IST
Will Clyburn,17.5,2022-12-23,IST
Vasilije Micic,18.5,2022-12-23,IST
Georgios Papagiannis,6.5,2022-12-23,PAN
Mateusz Ponitka,8.5,2022-12-23,PAN
Dwayne Bacon,18.5,2022-12-23,PAN
Derrick Williams,12.5,2022-12-23,PAN
Keenan Evans,15.5,2022-12-23,ZAL
Kevarrius Hayes,8.5,2022-12-23,ZAL
Torrian Walden,9.5,2022-12-23,MUN
Othello Hunter,7.5,2022-12-23,MUN
Brandon Davies,10.5,2022-12-23,MIL
Billy Baron,10.5,2022-12-23,MIL
Nicolo Melli,8.5,2022-12-23,MIL
Elie Okobo,11.5,2022-12-23,MCO
Alpha Diallo,9.5,2022-12-23,MCO
Mike James,18.5,2022-12-23,MCO
Donatas Motiejunas,9.5,2022-12-23,MCO
Chris Jones,14.5,2022-12-23,PAM
Bojan Dubljevic,13.5,2022-12-23,PAM
Cory Higgins,9.5,2022-12-23,BAR
Jan Vesely,8.5,2022-12-23,BAR
Nikola Kalinic,7.5,2022-12-23,BAR
Nicolas Laprovittola,13.5,2022-12-23,BAR
Nikola Mirotic,16.5,2022-12-23,BAR
Charles Kahudi,5.5,2023-01-11,ASV
Amine Noua,5.5,2023-01-11,ASV
Retin Obasohan,7.5,2023-01-11,ASV
Jonah Mathews,10.5,2023-01-11,ASV
Youssoupha Fall,8.5,2023-01-11,ASV
Cory Higgins,9.5,2023-01-11,BAR
Sertac Sanli,6.5,2023-01-11,BAR
Nicolas Laprovittola,13.5,2023-01-11,BAR
Nikola Mirotic,14.5,2023-01-11,BAR
Roman Sorkin,7.5,2023-01-11,TEL
Lorenzo Brown,17.5,2023-01-11,TEL
Bonzie Colson,8.5,2023-01-11,TEL
Danilo Andusic,7.5,2023-01-11,PAR
Ioannis Papapetrou,5.5,2023-01-11,PAR
William James Nunnally,9.5,2023-01-11,PAR
Zach Leday,9.5,2023-01-11,PAR
Mathias Lessort,12.5,2023-01-11,PAR
Yam Madar,7.5,2023-01-11,PAR
Kevin Punter,13.5,2023-01-11,PAR
Jalen Adams,8.5,2023-01-11,TEL
Xabi Lopez-Arostegui,7.5,2023-01-11,PAM
Klemen Prepelic,7.5,2023-01-11,PAM
Bojan Dubljevic,15.5,2023-01-11,PAM
Rodrigue Beaubois,12.5,2023-01-11,IST
Amath M'Baye,6.5,2023-01-11,IST
Ante Zizic,6.5,2023-01-11,IST
Will Clyburn,18.5,2023-01-11,IST
Vasilije Micic,18.5,2023-01-11,IST
Charles Kahudi,6.5,2023-01-13,ASV
Nando Colo De,13.5,2023-01-13,ASV
Retin Obasohan,7.5,2023-01-13,ASV
Jonah Mathews,10.5,2023-01-13,ASV
Youssoupha Fall,9.5,2023-01-13,ASV
James Iii Webb,10.5,2023-01-13,PAM
Jonah Radebaugh,9.5,2023-01-13,PAM
Bojan Dubljevic,13.5,2023-01-13,PAM
Georgios Papagiannis,7.5,2023-01-13,PAN
Dwayne Bacon,20.5,2023-01-13,PAN
Paris Lee,7.5,2023-01-13,PAN
Derrick Williams,13.5,2023-01-13,PAN
Arturas Gudaitis,7.5,2023-01-13,PAN
Roman Sorkin,6.5,2023-01-13,TEL
Lorenzo Brown,18.5,2023-01-13,TEL
Bonzie Colson,8.5,2023-01-13,TEL
Josh Nebo,9.5,2023-01-13,TEL
Jarell Martin,7.5,2023-01-13,TEL
Mateusz Ponitka,8.5,2023-01-13,PAN
Cory Higgins,9.5,2023-01-13,BAR
Jan Vesely,9.5,2023-01-13,BAR
Nikola Kalinic,7.5,2023-01-13,BAR
Nicolas Laprovittola,12.5,2023-01-13,BAR
Nikola Mirotic,15.5,2023-01-13,BAR
Rodrigue Beaubois,9.5,2023-01-13,IST
Shane Larkin,11.5,2023-01-13,IST
Will Clyburn,16.5,2023-01-13,IST
Vasilije Micic,16.5,2023-01-13,IST
Brandon Davies,12.5,2023-01-13,MIL
Billy Baron,12.5,2023-01-13,MIL
Nicolo Melli,8.5,2023-01-13,MIL
Devon Hall,8.5,2023-01-13,MIL
Ignas Brazdeikis,10.5,2023-01-13,ZAL
Rolands Smits,10.5,2023-01-13,ZAL
Edgaras Ulanovas,11.5,2023-01-13,ZAL
Danilo Andusic,7.5,2023-01-13,PAR
Ioannis Papapetrou,5.5,2023-01-13,PAR
Zach Leday,11.5,2023-01-13,PAR
Mathias Lessort,12.5,2023-01-13,PAR
Yam Madar,6.5,2023-01-13,PAR
Kevin Punter,14.5,2023-01-13,PAR
Darius Thompson,10.5,2023-01-13,BAS
Matthew Costello,9.5,2023-01-13,BAS
Rokas Giedraitis,9.5,2023-01-13,BAS
Rodrigue Beaubois,9.5,2023-02-01,IST
Shane Larkin,13.5,2023-02-01,IST
Will Clyburn,16.5,2023-02-01,IST
Elijah Bryant,6.5,2023-02-01,IST
Vasilije Micic,17.5,2023-02-01,IST
Lukas Lekavicius,8.5,2023-02-01,ZAL
Ignas Brazdeikis,10.5,2023-02-01,ZAL
Rolands Smits,11.5,2023-02-01,ZAL
Tamir Blatt,10.5,2023-02-01,BER
Yovel Zoosman,6.5,2023-02-01,BER
Jaleen Smith,13.5,2023-02-01,BER
Louis Olinde,8.5,2023-02-01,BER
Luke Sikma,7.5,2023-02-01,BER
Elie Okobo,10.5,2023-02-01,MCO
Jordan Loyd,9.5,2023-02-01,MCO
Alpha Diallo,10.5,2023-02-01,MCO
Mike James,18.5,2023-02-01,MCO
Donatas Motiejunas,7.5,2023-02-01,MCO
Sergio Llull,6.5,2023-02-01,MAD
Dzanan Musa,15.5,2023-02-01,MAD
Mario Hezonja,8.5,2023-02-01,MAD
Gabriel Deck,11.5,2023-02-01,MAD
Guerschon Yabusele,8.5,2023-02-01,MAD
Georgios Papagiannis,7.5,2023-02-01,PAN
Dwayne Bacon,18.5,2023-02-01,PAN
Paris Lee,9.5,2023-02-01,PAN
Derrick Williams,12.5,2023-02-01,PAN
Arturas Gudaitis,5.5,2023-02-01,PAN
Nick Calathes,8.5,2023-02-03,ULK
Scottie Wilbekin,12.5,2023-02-03,ULK
Johnathan Motley,14.5,2023-02-03,ULK
Marko Guduric,11.5,2023-02-03,ULK
Tamir Blatt,8.5,2023-02-03,BER
Jaleen Smith,12.5,2023-02-03,BER
Louis Olinde,7.5,2023-02-03,BER
Luke Sikma,7.5,2023-02-03,BER
