player,player_team,opposing_team,game_id,season,points,position,avg_points_position
Metecan Birsen,ANADOLU EFES ISTANBUL,FC BAYERN MUNICH,E2018_008,2018,2,Forward,
Brock Motum,ANADOLU EFES ISTANBUL,FC BAYERN MUNICH,E2018_008,2018,14,Forward,
Adrien Moerman,ANADOLU EFES ISTANBUL,FC BAYERN MUNICH,E2018_008,2018,11,Forward,
James Anderson,ANADOLU EFES ISTANBUL,FC BAYERN MUNICH,E2018_008,2018,12,Forward,
Ioannis Papapetrou,PANATHINAIKOS OPAP ATHENS,FC BAYERN MUNICH,E2018_011,2018,2,Forward,39.0
Keith Langford,PANATHINAIKOS OPAP ATHENS,FC BAYERN MUNICH,E2018_011,2018,18,Forward,39.0
Thanasis Antetokounmpo,PANATHINAIKOS OPAP ATHENS,FC BAYERN MUNICH,E2018_011,2018,8,Forward,39.0
Konstantinos Mitoglou,PANATHINAIKOS OPAP ATHENS,FC BAYERN MUNICH,E2018_011,2018,10,Forward,39.0
Stephane Yann Lasme,PANATHINAIKOS OPAP ATHENS,FC BAYERN MUNICH,E2018_011,2018,8,Forward,39.0
Deshaun Thomas,PANATHINAIKOS OPAP ATHENS,FC BAYERN MUNICH,E2018_011,2018,3,Forward,39.0
Matthew Lojeski,PANATHINAIKOS OPAP ATHENS,FC BAYERN MUNICH,E2018_011,2018,3,Forward,39.0
Jaka Blazic,FC BARCELONA LASSA,FC BAYERN MUNICH,E2018_020,2018,11,Forward,45.5
Kevin Seraphin,FC BARCELONA LASSA,FC BAYERN MUNICH,E2018_020,2018,6,Forward,45.5
Kyle Kuric,FC BARCELONA LASSA,FC BAYERN MUNICH,E2018_020,2018,3,Forward,45.5
Chris Singleton,FC BARCELONA LASSA,FC BAYERN MUNICH,E2018_020,2018,15,Forward,45.5
Victor Claver,FC BARCELONA LASSA,FC BAYERN MUNICH,E2018_020,2018,4,Forward,45.5
Marcelinho Huertas,KIROLBET BASKONIA VITORIA-GASTEIZ,FC BAYERN MUNICH,E2018_031,2018,0,Forward,43.333333333333336
Johannes Voigtmann,KIROLBET BASKONIA VITORIA-GASTEIZ,FC BAYERN MUNICH,E2018_031,2018,3,Forward,43.333333333333336
Tornike Shengelia,KIROLBET BASKONIA VITORIA-GASTEIZ,FC BAYERN MUNICH,E2018_031,2018,16,Forward,43.333333333333336
Shavon Shields,KIROLBET BASKONIA VITORIA-GASTEIZ,FC BAYERN MUNICH,E2018_031,2018,2,Forward,43.333333333333336
Patricio Garino,KIROLBET BASKONIA VITORIA-GASTEIZ,FC BAYERN MUNICH,E2018_031,2018,7,Forward,43.333333333333336
Nicolo Melli,FENERBAHCE ISTANBUL,FC BAYERN MUNICH,E2018_034,2018,2,Forward,39.5
Nikola Kalinic,FENERBAHCE ISTANBUL,FC BAYERN MUNICH,E2018_034,2018,11,Forward,39.5
Sinan Guler,FENERBAHCE ISTANBUL,FC BAYERN MUNICH,E2018_034,2018,0,Forward,39.5
Luigi Datome,FENERBAHCE ISTANBUL,FC BAYERN MUNICH,E2018_034,2018,19,Forward,39.5
Erick Green,FENERBAHCE ISTANBUL,FC BAYERN MUNICH,E2018_034,2018,0,Forward,39.5
Muhammed Baygul,DARUSSAFAKA TEKFEN ISTANBUL,FC BAYERN MUNICH,E2018_041,2018,0,Forward,38.0
Kartal Ozmizrak,DARUSSAFAKA TEKFEN ISTANBUL,FC BAYERN MUNICH,E2018_041,2018,4,Forward,38.0
Berk Demir,DARUSSAFAKA TEKFEN ISTANBUL,FC BAYERN MUNICH,E2018_041,2018,4,Forward,38.0
Ray Mccallum,DARUSSAFAKA TEKFEN ISTANBUL,FC BAYERN MUNICH,E2018_041,2018,4,Forward,38.0
Dogus Ozdemiroglu,DARUSSAFAKA TEKFEN ISTANBUL,FC BAYERN MUNICH,E2018_041,2018,5,Forward,38.0
Oguz Savas,DARUSSAFAKA TEKFEN ISTANBUL,FC BAYERN MUNICH,E2018_041,2018,0,Forward,38.0
Markel Brown,DARUSSAFAKA TEKFEN ISTANBUL,FC BAYERN MUNICH,E2018_041,2018,10,Forward,38.0
Stanton Kidd,DARUSSAFAKA TEKFEN ISTANBUL,FC BAYERN MUNICH,E2018_041,2018,4,Forward,38.0
Zanis Peiners,DARUSSAFAKA TEKFEN ISTANBUL,FC BAYERN MUNICH,E2018_041,2018,7,Forward,38.0
Jeremy Evans,DARUSSAFAKA TEKFEN ISTANBUL,FC BAYERN MUNICH,E2018_041,2018,20,Forward,38.0
Jon Diebler,DARUSSAFAKA TEKFEN ISTANBUL,FC BAYERN MUNICH,E2018_041,2018,3,Forward,38.0
Semen Antonov,CSKA MOSCOW,FC BAYERN MUNICH,E2018_052,2018,6,Forward,41.833333333333336
Andrey Vorontsevich,CSKA MOSCOW,FC BAYERN MUNICH,E2018_052,2018,3,Forward,41.833333333333336
Nikita Kurbanov,CSKA MOSCOW,FC BAYERN MUNICH,E2018_052,2018,10,Forward,41.833333333333336
Will Clyburn,CSKA MOSCOW,FC BAYERN MUNICH,E2018_052,2018,10,Forward,41.833333333333336
Sasha Vezenkov,OLYMPIACOS PIRAEUS,FC BAYERN MUNICH,E2018_059,2018,2,Forward,40.0
Kostas Papanikolaou,OLYMPIACOS PIRAEUS,FC BAYERN MUNICH,E2018_059,2018,4,Forward,40.0
Giorgos Bogris,OLYMPIACOS PIRAEUS,FC BAYERN MUNICH,E2018_059,2018,0,Forward,40.0
Georgios Printezis,OLYMPIACOS PIRAEUS,FC BAYERN MUNICH,E2018_059,2018,10,Forward,40.0
Janis Timma,OLYMPIACOS PIRAEUS,FC BAYERN MUNICH,E2018_059,2018,10,Forward,40.0
Xavier Rabaseda,HERBALIFE GRAN CANARIA,FC BAYERN MUNICH,E2018_068,2018,2,Forward,38.25
Kim Tillie,HERBALIFE GRAN CANARIA,FC BAYERN MUNICH,E2018_068,2018,4,Forward,38.25
Nikola Radicevic,HERBALIFE GRAN CANARIA,FC BAYERN MUNICH,E2018_068,2018,6,Forward,38.25
Eulis Baez,HERBALIFE GRAN CANARIA,FC BAYERN MUNICH,E2018_068,2018,4,Forward,38.25
Ondrej Balvin,HERBALIFE GRAN CANARIA,FC BAYERN MUNICH,E2018_068,2018,15,Forward,38.25
Dj Strawberry,HERBALIFE GRAN CANARIA,FC BAYERN MUNICH,E2018_068,2018,11,Forward,38.25
Albert Oliver,HERBALIFE GRAN CANARIA,FC BAYERN MUNICH,E2018_068,2018,0,Forward,38.25
Christopher Evans,HERBALIFE GRAN CANARIA,FC BAYERN MUNICH,E2018_068,2018,6,Forward,38.25
Anzejs Pasecniks,HERBALIFE GRAN CANARIA,FC BAYERN MUNICH,E2018_068,2018,6,Forward,38.25
Yovel Zoosman,MACCABI FOX TEL AVIV,FC BAYERN MUNICH,E2018_076,2018,9,Forward,40.0
Angelo Caloiaro,MACCABI FOX TEL AVIV,FC BAYERN MUNICH,E2018_076,2018,9,Forward,40.0
Kendrick Ray,MACCABI FOX TEL AVIV,FC BAYERN MUNICH,E2018_076,2018,7,Forward,40.0
Alexander Tyus-Cecchini,MACCABI FOX TEL AVIV,FC BAYERN MUNICH,E2018_076,2018,13,Forward,40.0
Deandre Kane,MACCABI FOX TEL AVIV,FC BAYERN MUNICH,E2018_076,2018,8,Forward,40.0
Nimrod Levi,MACCABI FOX TEL AVIV,FC BAYERN MUNICH,E2018_076,2018,0,Forward,40.0
Jake Cohen,MACCABI FOX TEL AVIV,FC BAYERN MUNICH,E2018_076,2018,4,Forward,40.0
Johnny O'Bryant,MACCABI FOX TEL AVIV,FC BAYERN MUNICH,E2018_076,2018,9,Forward,40.0
Garlon Green,KHIMKI MOSCOW REGION,FC BAYERN MUNICH,E2018_084,2018,7,Forward,41.9
Anthony Gill,KHIMKI MOSCOW REGION,FC BAYERN MUNICH,E2018_084,2018,8,Forward,41.9
Andrey Zubkov,KHIMKI MOSCOW REGION,FC BAYERN MUNICH,E2018_084,2018,0,Forward,41.9
Tony Crocker,KHIMKI MOSCOW REGION,FC BAYERN MUNICH,E2018_084,2018,0,Forward,41.9
Sergey Monya,KHIMKI MOSCOW REGION,FC BAYERN MUNICH,E2018_084,2018,0,Forward,41.9
Paulius Jankunas,ZALGIRIS KAUNAS,FC BAYERN MUNICH,E2018_094,2018,2,Forward,39.45454545454545
Edgaras Ulanovas,ZALGIRIS KAUNAS,FC BAYERN MUNICH,E2018_094,2018,5,Forward,39.45454545454545
Aaron White,ZALGIRIS KAUNAS,FC BAYERN MUNICH,E2018_094,2018,12,Forward,39.45454545454545
Vladimir Micov,AX ARMANI EXCHANGE OLIMPIA MILAN,FC BAYERN MUNICH,E2018_103,2018,16,Forward,37.75
Mindaugas Kuzminskas,AX ARMANI EXCHANGE OLIMPIA MILAN,FC BAYERN MUNICH,E2018_103,2018,5,Forward,37.75
Curtis Jerrells,AX ARMANI EXCHANGE OLIMPIA MILAN,FC BAYERN MUNICH,E2018_103,2018,9,Forward,37.75
Jeff Brooks,AX ARMANI EXCHANGE OLIMPIA MILAN,FC BAYERN MUNICH,E2018_103,2018,2,Forward,37.75
Jeffery Taylor,REAL MADRID,FC BAYERN MUNICH,E2018_112,2018,8,Forward,37.30769230769231
Gabriel Deck,REAL MADRID,FC BAYERN MUNICH,E2018_112,2018,2,Forward,37.30769230769231
Fabien Causeur,REAL MADRID,FC BAYERN MUNICH,E2018_112,2018,2,Forward,37.30769230769231
